epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.292,1.96767,2.66798,2.10052,0.44253,0.36363,0.32509,0.15142,1.98187,2.26236,1.97589,3.32749e-05,3.32749e-05,0.0667584
2,1091.86,1.78003,2.24006,1.95525,0.66905,0.49833,0.574,0.29666,1.64219,1.71222,1.71013,6.59488e-05,6.59488e-05,0.0334578
3,1623.96,1.73194,2.12582,1.90891,0.63411,0.48788,0.55859,0.27583,1.67592,1.70742,1.75575,9.79627e-05,9.79627e-05,0.000156442
4,2153.81,1.68415,2.05676,1.88241,0.62723,0.57726,0.61291,0.31603,1.61798,1.5295,1.70172,9.703e-05,9.703e-05,9.703e-05
5,2684.9,1.64394,1.95903,1.85699,0.71469,0.56065,0.64457,0.35342,1.54907,1.43635,1.65461,9.604e-05,9.604e-05,9.604e-05
6,3215.63,1.62019,1.9352,1.82946,0.65851,0.61639,0.67832,0.38342,1.45724,1.43119,1.60156,9.505e-05,9.505e-05,9.505e-05
7,3745.95,1.58578,1.85873,1.80607,0.74619,0.62779,0.71014,0.39525,1.45995,1.35183,1.57406,9.406e-05,9.406e-05,9.406e-05
8,4276.14,1.57418,1.81028,1.78549,0.69632,0.65293,0.69444,0.39431,1.46829,1.35208,1.58348,9.307e-05,9.307e-05,9.307e-05
9,4805.11,1.5447,1.79384,1.76913,0.72039,0.68435,0.74085,0.4341,1.41407,1.21619,1.5613,9.208e-05,9.208e-05,9.208e-05
10,5334.92,1.53013,1.7541,1.76059,0.7049,0.67049,0.70838,0.41383,1.43739,1.26177,1.57439,9.109e-05,9.109e-05,9.109e-05
11,5864.82,1.52275,1.73556,1.7491,0.76868,0.62545,0.73101,0.42783,1.42375,1.24248,1.54258,9.01e-05,9.01e-05,9.01e-05
12,6394.74,1.52061,1.70529,1.75317,0.7668,0.69508,0.76109,0.45184,1.40174,1.14416,1.51497,8.911e-05,8.911e-05,8.911e-05
13,6924.75,1.50354,1.69766,1.73926,0.71911,0.72605,0.76251,0.44639,1.4143,1.1421,1.54321,8.812e-05,8.812e-05,8.812e-05
14,7454.87,1.48901,1.64804,1.71787,0.76612,0.7081,0.77187,0.46412,1.36825,1.11492,1.50403,8.713e-05,8.713e-05,8.713e-05
15,7985.16,1.47118,1.62888,1.70638,0.7679,0.69084,0.76805,0.46099,1.38306,1.12025,1.52126,8.614e-05,8.614e-05,8.614e-05
16,8514.91,1.45013,1.59446,1.68976,0.8115,0.69718,0.79139,0.47579,1.37085,1.06163,1.50572,8.515e-05,8.515e-05,8.515e-05
17,9045.58,1.45305,1.58225,1.68854,0.76009,0.71356,0.76712,0.45791,1.36853,1.11971,1.50577,8.416e-05,8.416e-05,8.416e-05
18,9575.13,1.45357,1.56199,1.69049,0.79195,0.69784,0.76971,0.47241,1.35167,1.09889,1.51377,8.317e-05,8.317e-05,8.317e-05
19,10104.2,1.44297,1.57699,1.68402,0.74015,0.70676,0.75512,0.44861,1.3729,1.15949,1.49236,8.218e-05,8.218e-05,8.218e-05
20,10634.9,1.42884,1.54404,1.67289,0.75192,0.71433,0.7658,0.46574,1.36631,1.09679,1.50876,8.119e-05,8.119e-05,8.119e-05
21,11165.4,1.4163,1.52301,1.66932,0.78651,0.74849,0.79026,0.50259,1.28295,0.99374,1.44507,8.02e-05,8.02e-05,8.02e-05
22,11696.3,1.41597,1.51269,1.65826,0.79386,0.75353,0.81702,0.5139,1.28153,0.9724,1.44299,7.921e-05,7.921e-05,7.921e-05
23,12226.8,1.40275,1.48973,1.64702,0.80393,0.73326,0.80545,0.51129,1.29018,1.00435,1.45111,7.822e-05,7.822e-05,7.822e-05
